Order,Value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,32
13,0
14,0
15,0
16,32
17,32
18,48
19,48
20,16
21,16
22,16
23,16
24,0
25,32
26,32
27,32
28,48
29,16
30,48
31,10
32,3073
33,2049
34,2052
35,2053
36,2052
37,2050
38,2048
39,384
40,48
41,12
42,4
43,5
44,4
45,1
46,2
47,3
48,3
49,2
50,1
51,0
52,2049
53,2050
54,2050
55,2050
56,0
57,1
58,1
59,2049
60,2050
61,2050
62,2048
63,2
64,4
65,4
66,2
67,2048
68,2051
69,2052
70,2051
71,2048
72,2
73,2
74,1
75,2048
76,2050
77,2050
78,2049
79,1
80,2
81,2
82,0
83,2050
84,2051
85,2051
86,2050
87,1
88,3
89,4
90,4
91,2
92,0
93,2050
94,2052
95,2052
96,2051
97,2049
98,1
99,3
100,3
